id,product_code,image_file,brand,category,image_path
19,7202,WhatsApp Image 2026-05-08 at 9.12.08 PM (4).jpeg,Rana,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.08 PM (4).jpeg
20,7202,WhatsApp Image 2026-05-08 at 9.12.08 PM (5).jpeg,Rana,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.08 PM (5).jpeg
21,7201,WhatsApp Image 2026-05-08 at 9.12.08 PM.jpeg,Rana,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.08 PM.jpeg
22,7089,WhatsApp Image 2026-05-08 at 9.12.09 PM (1).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.09 PM (1).jpeg
23,7089,WhatsApp Image 2026-05-08 at 9.12.09 PM (2).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.09 PM (2).jpeg
24,7089,WhatsApp Image 2026-05-08 at 9.12.09 PM (3).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.09 PM (3).jpeg
25,7089,WhatsApp Image 2026-05-08 at 9.12.09 PM (4).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.09 PM (4).jpeg
26,7089,WhatsApp Image 2026-05-08 at 9.12.09 PM (5).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.09 PM (5).jpeg
27,7089,WhatsApp Image 2026-05-08 at 9.12.09 PM (6).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.09 PM (6).jpeg
28,7202,WhatsApp Image 2026-05-08 at 9.12.09 PM (7).jpeg,Rana,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.09 PM (7).jpeg
29,7089,WhatsApp Image 2026-05-08 at 9.12.09 PM.jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.09 PM.jpeg
30,7202,WhatsApp Image 2026-05-08 at 9.12.10 PM (1).jpeg,Rana,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.10 PM (1).jpeg
31,7089,WhatsApp Image 2026-05-08 at 9.12.10 PM (2).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.10 PM (2).jpeg
32,7089,WhatsApp Image 2026-05-08 at 9.12.10 PM (3).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.10 PM (3).jpeg
33,7089,WhatsApp Image 2026-05-08 at 9.12.10 PM (4).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.10 PM (4).jpeg
34,7089,WhatsApp Image 2026-05-08 at 9.12.10 PM (5).jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.10 PM (5).jpeg
35,7089,WhatsApp Image 2026-05-08 at 9.12.10 PM.jpeg,Azora,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.10 PM.jpeg
36,,WhatsApp Image 2026-05-08 at 9.12.23 PM (1).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.23 PM (1).jpeg
37,,WhatsApp Image 2026-05-08 at 9.12.23 PM (2).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.23 PM (2).jpeg
38,,WhatsApp Image 2026-05-08 at 9.12.23 PM (3).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.23 PM (3).jpeg
39,,WhatsApp Image 2026-05-08 at 9.12.23 PM.jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.23 PM.jpeg
40,,WhatsApp Image 2026-05-08 at 9.12.24 PM (1).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.24 PM (1).jpeg
41,,WhatsApp Image 2026-05-08 at 9.12.24 PM (2).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.24 PM (2).jpeg
42,,WhatsApp Image 2026-05-08 at 9.12.24 PM (3).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.24 PM (3).jpeg
43,,WhatsApp Image 2026-05-08 at 9.12.24 PM (4).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.24 PM (4).jpeg
44,,WhatsApp Image 2026-05-08 at 9.12.24 PM (5).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.24 PM (5).jpeg
45,,WhatsApp Image 2026-05-08 at 9.12.24 PM (6).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.24 PM (6).jpeg
46,,WhatsApp Image 2026-05-08 at 9.12.24 PM.jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.24 PM.jpeg
47,,WhatsApp Image 2026-05-08 at 9.12.25 PM (1).jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.25 PM (1).jpeg
48,,WhatsApp Image 2026-05-08 at 9.12.25 PM.jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.25 PM.jpeg
49,390,WhatsApp Image 2026-05-08 at 9.12.31 PM (1).jpeg,Marcato,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.31 PM (1).jpeg
50,,WhatsApp Image 2026-05-08 at 9.12.31 PM.jpeg,,Women Fashion,/images/WhatsApp Image 2026-05-08 at 9.12.31 PM.jpeg
